seed,fraction,effective_fraction,validation_conflict_auc,threshold_confirmation_step,threshold_right_censored,visible_dynamic_steps,reference_risk_steps,sampled_visible_dynamic,test_all_safe_success,test_all_dynamic_collision,test_all_timeout,test_all_wait_steps,test_all_probe_unsafe_action,test_all_probe_wait_action,test_all_probe_safe_q_margin,test_control_safe_success,test_control_dynamic_collision,test_control_timeout,test_control_wait_steps,test_control_probe_unsafe_action,test_control_probe_wait_action,test_control_probe_safe_q_margin,test_conflict_safe_success,test_conflict_dynamic_collision,test_conflict_timeout,test_conflict_wait_steps,test_conflict_probe_unsafe_action,test_conflict_probe_wait_action,test_conflict_probe_safe_q_margin,test_conflict_minus_control_failure,test_static_safe_success,test_static_steps
0,0.0,0.0,0.8666666666666668,100000,False,33373,236,2099864,1.0,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,2.8517723424094066,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.154270887374878,1.0,0.0,0.0,0.16666666666666666,0.0,0.25,3.1346892515818277,0.0,1,66
0,0.1,0.09375,0.7208333333333333,130000,False,36026,379,2049846,1.0,0.0,0.0,0.2916666666666667,0.08333333333333333,0.125,0.9093687534332275,1.0,0.0,0.0,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.030989646911621094,1.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.16666666666666666,1.0557652711868286,0.0,1,66
0,0.25,0.25,0.8541666666666667,160000,False,39860,252,1868746,0.9166666666666666,0.041666666666666664,0.041666666666666664,9.625,0.08333333333333333,0.08333333333333333,1.0527659824916296,0.9166666666666666,0.0,0.08333333333333333,19.0,0.0,0.08333333333333333,1.3543424606323242,0.9166666666666666,0.08333333333333333,0.0,0.25,0.16666666666666666,0.08333333333333333,1.002503236134847,0.0,1,68
1,0.0,0.0,0.9458333333333333,50000,False,28133,112,1771319,1.0,0.0,0.0,0.0,0.16666666666666666,0.125,0.5522965363093785,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2116408348083496,1.0,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.6090724865595499,0.0,1,66
1,0.1,0.09375,0.8791666666666668,110000,False,57740,156,3267850,0.9583333333333334,0.041666666666666664,0.0,0.3333333333333333,0.0,0.0,1.6087439400809151,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.4857282638549805,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,1.6292465527852376,0.08333333333333337,1,66
1,0.25,0.25,0.8541666666666665,50000,False,48216,247,2259176,0.9583333333333334,0.0,0.041666666666666664,0.125,0.0,0.0,3.4380577972957065,1.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.6764748096466064,0.9166666666666666,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,3.8983216285705566,0.08333333333333337,1,66
2,0.0,0.0,0.8833333333333334,60000,False,33909,73,2141474,1.0,0.0,0.0,0.0,0.25,0.0,0.012087924139840263,1.0,0.0,0.0,0.0,0.0,0.0,0.09377026557922363,1.0,0.0,0.0,0.0,0.5,0.0,-0.0015257994333902996,0.0,1,66
2,0.1,0.09375,0.9333333333333335,80000,False,25735,44,1466315,1.0,0.0,0.0,0.0,0.08333333333333333,0.125,1.55302175453731,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.0515458583831787,1.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.6366010705629985,0.0,1,66
2,0.25,0.25,0.85,140000,False,44348,147,2094758,1.0,0.0,0.0,0.0,0.125,0.0,0.3870116301945278,1.0,0.0,0.0,0.0,0.0,0.0,0.47176146507263184,1.0,0.0,0.0,0.0,0.25,0.0,0.37288665771484375,0.0,1,66
3,0.0,0.0,0.875,80000,False,39286,260,2456796,0.875,0.08333333333333333,0.041666666666666664,0.2916666666666667,0.041666666666666664,0.25,3.5591820308140347,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.11987876892089844,0.9166666666666666,0.08333333333333333,0.0,0.5,0.08333333333333333,0.3333333333333333,4.132399241129558,-0.08333333333333326,1,66
3,0.1,0.09375,0.7916666666666669,170000,False,30556,213,1733574,1.0,0.0,0.0,0.0,0.041666666666666664,0.0,1.3091552257537842,1.0,0.0,0.0,0.0,0.0,0.0,0.09784770011901855,1.0,0.0,0.0,0.0,0.08333333333333333,0.0,1.5110398133595784,0.0,1,68
3,0.25,0.25,0.8833333333333333,60000,False,37099,79,1741161,1.0,0.0,0.0,0.0,0.0,0.041666666666666664,1.720006959778922,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.32575178146362305,1.0,0.0,0.0,0.0,0.0,0.0,1.9523828228314717,0.0,1,66
4,0.0,0.0,0.8666666666666667,60000,False,29115,62,1831161,0.875,0.041666666666666664,0.08333333333333333,6.541666666666667,0.16666666666666666,0.041666666666666664,0.541863134929112,0.8333333333333334,0.08333333333333333,0.08333333333333333,6.5,0.0,0.0,1.1574504375457764,0.9166666666666666,0.0,0.08333333333333333,6.583333333333333,0.3333333333333333,0.08333333333333333,0.43926525115966797,-0.08333333333333326,1,72
4,0.1,0.09375,0.9791666666666667,20000,False,42509,33,2402747,1.0,0.0,0.0,0.0,0.0,0.0,1.0519303253718786,1.0,0.0,0.0,0.0,0.0,0.0,0.633413553237915,1.0,0.0,0.0,0.0,0.0,0.0,1.121683120727539,0.0,1,66
4,0.25,0.25,0.8250000000000002,80000,False,51588,194,2415883,0.8333333333333334,0.16666666666666666,0.0,0.041666666666666664,0.08333333333333333,0.08333333333333333,1.6287099633898054,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.7716288566589355,0.75,0.25,0.0,0.0,0.16666666666666666,0.08333333333333333,1.771556814511617,0.16666666666666663,1,66
