map_id,split,pair_id,decision_step,decision_row,decision_column,progress_band,route_kind,route_length
irregular_workcell_91701,train,pair_000,11,8,9,early,turning,4
irregular_workcell_91701,train,pair_001,21,15,12,early,turning,4
irregular_workcell_91701,train,pair_002,2,4,4,early,straight,5
irregular_workcell_91701,train,pair_003,16,12,10,early,turning,4
irregular_workcell_91701,train,pair_004,4,6,4,early,turning,4
irregular_workcell_91701,train,pair_005,13,9,10,early,turning,4
irregular_workcell_91701,train,pair_006,41,24,23,middle,turning,4
irregular_workcell_91701,train,pair_007,31,16,21,middle,turning,4
irregular_workcell_91701,train,pair_008,26,15,17,middle,turning,4
irregular_workcell_91701,train,pair_009,36,19,23,middle,turning,4
irregular_workcell_91701,train,pair_010,23,15,14,middle,straight,5
irregular_workcell_91701,train,pair_011,28,15,19,middle,turning,4
irregular_workcell_91701,train,pair_012,64,36,34,late,turning,4
irregular_workcell_91701,train,pair_013,50,30,26,late,turning,4
irregular_workcell_91701,train,pair_014,57,33,30,late,turning,4
irregular_workcell_91701,train,pair_015,47,27,26,late,turning,4
irregular_workcell_91701,train,pair_016,60,34,32,late,turning,5
irregular_workcell_91701,train,pair_017,55,33,28,late,turning,5
irregular_workcell_91701,validation,pair_018,13,9,10,early,turning,4
irregular_workcell_91701,validation,pair_019,2,4,4,early,turning,4
irregular_workcell_91701,validation,pair_020,41,24,23,middle,turning,4
irregular_workcell_91701,validation,pair_021,27,15,18,middle,turning,4
irregular_workcell_91701,validation,pair_022,64,36,34,late,straight,5
irregular_workcell_91701,validation,pair_023,50,30,26,late,turning,4
irregular_workcell_91701,test,pair_024,11,8,9,early,turning,4
irregular_workcell_91701,test,pair_025,21,15,12,early,straight,5
irregular_workcell_91701,test,pair_026,2,4,4,early,turning,4
irregular_workcell_91701,test,pair_027,16,12,10,early,turning,4
irregular_workcell_91701,test,pair_028,41,24,23,middle,turning,4
irregular_workcell_91701,test,pair_029,31,16,21,middle,straight,5
irregular_workcell_91701,test,pair_030,26,15,17,middle,turning,4
irregular_workcell_91701,test,pair_031,36,19,23,middle,turning,4
irregular_workcell_91701,test,pair_032,64,36,34,late,turning,4
irregular_workcell_91701,test,pair_033,50,30,26,late,turning,4
irregular_workcell_91701,test,pair_034,57,33,30,late,turning,4
irregular_workcell_91701,test,pair_035,47,27,26,late,turning,4
irregular_workcell_91702,train,pair_000,11,9,8,early,turning,5
irregular_workcell_91702,train,pair_001,21,14,13,early,turning,4
irregular_workcell_91702,train,pair_002,2,4,4,early,turning,4
irregular_workcell_91702,train,pair_003,17,12,11,early,straight,5
irregular_workcell_91702,train,pair_004,14,11,9,early,turning,4
irregular_workcell_91702,train,pair_005,4,6,4,early,straight,5
irregular_workcell_91702,train,pair_006,38,21,23,middle,turning,5
irregular_workcell_91702,train,pair_007,32,17,21,middle,turning,4
irregular_workcell_91702,train,pair_008,24,14,16,middle,turning,4
irregular_workcell_91702,train,pair_009,35,19,22,middle,turning,4
irregular_workcell_91702,train,pair_010,22,14,14,middle,turning,4
irregular_workcell_91702,train,pair_011,23,14,15,middle,turning,4
irregular_workcell_91702,train,pair_012,64,35,35,late,turning,4
irregular_workcell_91702,train,pair_013,51,28,29,late,straight,5
irregular_workcell_91702,train,pair_014,45,27,24,late,turning,4
irregular_workcell_91702,train,pair_015,57,30,33,late,turning,4
irregular_workcell_91702,train,pair_016,54,30,30,late,straight,5
irregular_workcell_91702,train,pair_017,60,32,34,late,turning,4
irregular_workcell_91702,validation,pair_018,11,9,8,early,turning,5
irregular_workcell_91702,validation,pair_019,21,14,13,early,turning,4
irregular_workcell_91702,validation,pair_020,38,21,23,middle,straight,5
irregular_workcell_91702,validation,pair_021,24,14,16,middle,turning,4
irregular_workcell_91702,validation,pair_022,64,35,35,late,turning,4
irregular_workcell_91702,validation,pair_023,51,28,29,late,straight,5
irregular_workcell_91702,test,pair_024,11,9,8,early,turning,5
irregular_workcell_91702,test,pair_025,21,14,13,early,turning,4
irregular_workcell_91702,test,pair_026,2,4,4,early,straight,5
