episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,101,101,pair_001_control,control,1,0,0,12.250000000000002,0.29983333333333334,1616,4848,27,0,15
1,203,102,pair_015_conflict,conflict,1,0,0,12.240000000000002,0.29966333333333334,3248,9744,39,0,30
2,307,104,pair_008_control,control,1,0,0,12.220000000000002,0.29949,4912,14736,57,0,52
3,353,46,pair_007_conflict,conflict,0,1,0,0.10000000000000031,0.2994133333333333,5648,16944,68,1,68
4,454,101,pair_003_conflict,conflict,1,0,0,12.250000000000002,0.299245,7264,21792,111,1,126
5,549,95,pair_017_control,control,1,0,0,12.310000000000002,0.29908666666666667,8784,26352,139,1,188
6,653,104,pair_000_conflict,conflict,1,0,0,12.220000000000002,0.2989133333333333,10448,31344,179,1,291
7,758,105,pair_008_conflict,conflict,1,0,0,12.21,0.29873833333333333,12128,36384,202,1,394
8,862,104,pair_006_control,control,1,0,0,12.22,0.29856499999999997,13792,41376,215,1,515
9,953,91,pair_012_conflict,conflict,1,0,0,12.350000000000001,0.2984133333333333,15248,45744,240,1,626
10,1059,106,pair_010_control,control,1,0,0,12.200000000000003,0.29823666666666665,16944,50832,275,1,773
11,1156,97,pair_012_control,control,0,1,0,1.240000000000001,0.298075,18496,55488,289,2,917
12,1242,86,pair_004_conflict,conflict,1,0,0,12.400000000000002,0.29793166666666665,19872,59616,303,2,1055
13,1334,92,pair_005_conflict,conflict,1,0,0,12.340000000000002,0.2977783333333333,21344,64032,323,2,1241
14,1426,92,pair_000_control,control,1,0,0,12.340000000000002,0.297625,22816,68448,341,2,1426
15,1517,91,pair_014_conflict,conflict,1,0,0,12.350000000000001,0.2974733333333333,24272,72816,361,2,1604
16,1644,127,pair_006_conflict,conflict,1,0,0,11.99,0.29726166666666665,26304,78912,361,2,1870
17,1746,102,pair_016_conflict,conflict,0,1,0,0.9900000000000011,0.29709166666666664,27936,83808,377,2,2059
18,1905,159,pair_014_control,control,1,0,0,11.670000000000002,0.2968266666666667,30480,91440,402,2,2342
19,1993,88,pair_015_control,control,1,0,0,12.380000000000003,0.29668,31888,95664,425,2,2567
20,1995,2,pair_002_control,control,0,1,0,-0.96,0.29667666666666664,31920,95760,427,2,2573
21,2094,99,pair_009_conflict,conflict,1,0,0,12.270000000000001,0.2965116666666667,33504,100512,443,2,2801
22,2184,90,pair_004_control,control,1,0,0,12.360000000000001,0.29636166666666663,34944,104832,458,2,3015
