episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative
0,85,85,pair_001_control,control,1,0,0,12.410000000000002,0.29986,1360,4080,7,0,1
1,170,85,pair_015_conflict,conflict,1,0,0,12.410000000000002,0.2997183333333333,2720,8160,19,0,3
2,267,97,pair_008_control,control,1,0,0,12.290000000000003,0.29955666666666664,4272,12816,26,0,20
3,369,102,pair_007_conflict,conflict,1,0,0,12.240000000000002,0.29938666666666663,5904,17712,26,0,33
4,458,89,pair_003_conflict,conflict,1,0,0,12.370000000000001,0.29923833333333333,7328,21984,47,0,48
5,554,96,pair_017_control,control,0,1,0,1.100000000000001,0.29907833333333333,8864,26592,57,0,71
6,644,90,pair_000_conflict,conflict,1,0,0,12.360000000000001,0.2989283333333333,10304,30912,80,0,108
7,737,93,pair_008_conflict,conflict,1,0,0,12.330000000000002,0.29877333333333334,11792,35376,97,0,151
8,841,104,pair_006_control,control,1,0,0,12.22,0.2986,13456,40368,97,0,211
9,930,89,pair_012_conflict,conflict,1,0,0,12.370000000000001,0.29845166666666667,14880,44640,106,0,249
10,1011,81,pair_010_control,control,1,0,0,12.450000000000001,0.2983166666666667,16176,48528,135,0,303
11,1099,88,pair_012_control,control,1,0,0,12.38,0.29817,17584,52752,149,1,378
12,1190,91,pair_004_conflict,conflict,1,0,0,12.350000000000001,0.29801833333333333,19040,57120,174,1,459
13,1267,77,pair_005_conflict,conflict,1,0,0,12.490000000000002,0.29789,20272,60816,185,1,541
14,1357,90,pair_000_control,control,1,0,0,12.360000000000001,0.29774,21712,65136,207,1,626
15,1424,67,pair_014_conflict,conflict,0,1,0,0.5400000000000007,0.29762833333333333,22784,68352,216,1,705
16,1510,86,pair_006_conflict,conflict,1,0,0,12.400000000000002,0.297485,24160,72480,242,1,817
17,1589,79,pair_016_conflict,conflict,1,0,0,12.470000000000002,0.2973533333333333,25424,76272,259,1,917
18,1679,90,pair_014_control,control,1,0,0,12.360000000000001,0.2972033333333333,26864,80592,279,1,1034
19,1787,108,pair_015_control,control,1,0,0,12.180000000000001,0.2970233333333333,28592,85776,295,1,1185
20,1884,97,pair_002_control,control,1,0,0,12.290000000000001,0.29686166666666663,30144,90432,315,1,1357
21,1975,91,pair_009_conflict,conflict,1,0,0,12.350000000000001,0.29671,31600,94800,343,1,1526
22,1990,15,pair_004_control,control,0,1,0,-0.54,0.296685,31840,95520,355,1,1559
23,2075,85,pair_001_conflict,conflict,1,0,0,12.410000000000002,0.2965433333333333,33200,99600,385,1,1755
24,2160,85,pair_002_conflict,conflict,1,0,0,12.410000000000002,0.2964016666666667,34560,103680,404,1,1948
25,2246,86,pair_017_conflict,conflict,1,0,0,12.400000000000002,0.29625833333333335,35936,107808,414,1,2148
26,2342,96,pair_003_control,control,1,0,0,12.3,0.2960983333333333,37472,112416,449,1,2390
27,2428,86,pair_010_conflict,conflict,1,0,0,12.400000000000002,0.29595499999999997,38848,116544,458,1,2609
28,2516,88,pair_009_control,control,1,0,0,12.38,0.29580833333333334,40256,120768,458,1,2850
29,2616,100,pair_011_conflict,conflict,1,0,0,12.260000000000002,0.29564166666666664,41856,125568,462,1,3086
30,2707,91,pair_011_control,control,1,0,0,12.350000000000001,0.29549,43312,129936,471,1,3321
31,2824,117,pair_005_control,control,1,0,0,12.090000000000002,0.295295,45184,135552,487,1,3633
32,2916,92,pair_016_control,control,1,0,0,12.340000000000002,0.29514166666666664,46656,139968,504,1,3890
33,3010,94,pair_013_conflict,conflict,1,0,0,12.320000000000002,0.294985,48160,144480,525,1,4164
34,3104,94,pair_007_control,control,1,0,0,12.32,0.2948283333333333,49664,148992,549,1,4440
35,3198,94,pair_013_control,control,1,0,0,12.32,0.29467166666666667,51168,153504,567,1,4706
36,3292,94,pair_003_conflict,conflict,1,0,0,12.320000000000002,0.29451499999999997,52672,158016,602,1,4996
37,3406,114,pair_015_conflict,conflict,1,0,0,12.120000000000001,0.294325,54496,163488,625,1,5337
38,3514,108,pair_016_conflict,conflict,1,0,0,12.180000000000001,0.294145,56224,168672,653,1,5701
39,3598,84,pair_006_control,control,1,0,0,12.420000000000002,0.29400499999999996,57568,172704,656,1,5993
40,3702,104,pair_010_control,control,1,0,0,12.220000000000002,0.29383166666666666,59232,177696,676,1,6370
41,3793,91,pair_000_conflict,conflict,1,0,0,12.350000000000001,0.29368,60688,182064,697,1,6679
42,3899,106,pair_012_control,control,1,0,0,12.200000000000001,0.29350333333333334,62384,187152,704,1,7061
43,3997,98,pair_004_conflict,conflict,1,0,0,12.280000000000001,0.29334,63952,191856,740,1,7459
44,4129,132,pair_012_conflict,conflict,1,0,0,11.940000000000001,0.29312,66064,198192,775,1,7975
45,4134,5,pair_002_conflict,conflict,0,1,0,-0.99,0.29311166666666666,66144,198432,780,1,7996
46,4252,118,pair_009_control,control,1,0,0,12.080000000000002,0.292915,68032,204096,819,1,8497
47,4354,102,pair_003_control,control,1,0,0,12.240000000000002,0.292745,69664,208992,849,1,9001
48,4439,85,pair_000_control,control,1,0,0,12.410000000000002,0.2926033333333333,71024,213072,869,1,9426
49,4522,83,pair_001_control,control,1,0,0,12.430000000000001,0.292465,72352,217056,877,1,9855
50,4524,2,pair_002_control,control,0,1,0,-0.96,0.2924616666666667,72384,217152,879,1,9864
51,4615,91,pair_006_conflict,conflict,1,0,0,12.350000000000001,0.29231,73840,221520,886,1,10367
52,4719,104,pair_005_conflict,conflict,1,0,0,12.22,0.29213666666666666,75504,226512,904,1,10884
53,4812,93,pair_013_conflict,conflict,1,0,0,12.330000000000002,0.29198166666666664,76992,230976,926,1,11338
54,4893,81,pair_004_control,control,1,0,0,12.450000000000001,0.29184666666666664,78288,234864,955,1,11769
55,4990,97,pair_014_control,control,1,0,0,12.290000000000001,0.29168499999999997,79840,239520,972,1,12255
56,5088,98,pair_007_control,control,1,0,0,12.280000000000001,0.2915216666666667,81408,244224,1008,1,12772
57,5193,105,pair_007_conflict,conflict,1,0,0,12.21,0.29134666666666664,83088,249264,1008,1,13396
58,5280,87,pair_005_control,control,1,0,0,12.39,0.29120166666666664,84480,253440,1021,1,13857
59,5385,105,pair_011_conflict,conflict,1,0,0,12.21,0.29102666666666666,86160,258480,1025,1,14462
60,5497,112,pair_008_control,control,1,0,0,12.140000000000002,0.29084,87952,263856,1025,1,15124
