map_id,split,pair_id,source_pair_id,obstacle_count,causal_obstacle_count,first_reference_collision_step,control_oracle_steps,conflict_oracle_steps
irregular_workcell_91701,train,pair_000_n3_000,pair_000,3,1,11,66,66
irregular_workcell_91701,train,pair_000_n5_000,pair_000,5,2,11,66,66
irregular_workcell_91701,train,pair_001_n3_001,pair_001,3,1,21,66,66
irregular_workcell_91701,train,pair_001_n5_001,pair_001,5,2,21,66,66
irregular_workcell_91701,train,pair_002_n3_002,pair_002,3,1,2,66,66
irregular_workcell_91701,train,pair_002_n5_002,pair_002,5,2,2,66,66
irregular_workcell_91701,train,pair_003_n3_003,pair_003,3,1,16,66,66
irregular_workcell_91701,train,pair_003_n5_003,pair_003,5,2,16,66,66
irregular_workcell_91701,train,pair_004_n3_004,pair_004,3,1,4,66,66
irregular_workcell_91701,train,pair_004_n5_004,pair_004,5,2,4,66,66
irregular_workcell_91701,train,pair_005_n3_005,pair_005,3,1,13,66,66
irregular_workcell_91701,train,pair_005_n5_005,pair_005,5,2,13,66,66
irregular_workcell_91701,train,pair_006_n3_006,pair_006,3,1,41,66,66
irregular_workcell_91701,train,pair_006_n5_006,pair_006,5,2,2,66,66
irregular_workcell_91701,train,pair_007_n3_007,pair_007,3,1,31,66,66
irregular_workcell_91701,train,pair_007_n5_007,pair_007,5,2,31,66,66
irregular_workcell_91701,train,pair_008_n3_008,pair_008,3,1,26,66,66
irregular_workcell_91701,train,pair_008_n5_008,pair_008,5,2,26,66,66
irregular_workcell_91701,train,pair_009_n3_009,pair_009,3,1,36,66,66
irregular_workcell_91701,train,pair_009_n5_009,pair_009,5,2,2,66,66
irregular_workcell_91701,train,pair_010_n3_010,pair_010,3,1,23,66,66
irregular_workcell_91701,train,pair_010_n5_010,pair_010,5,2,23,66,66
irregular_workcell_91701,train,pair_011_n3_011,pair_011,3,1,28,66,66
irregular_workcell_91701,train,pair_011_n5_011,pair_011,5,2,28,66,66
irregular_workcell_91701,train,pair_012_n3_012,pair_012,3,1,64,66,66
irregular_workcell_91701,train,pair_012_n5_012,pair_012,5,2,2,66,66
irregular_workcell_91701,train,pair_013_n3_013,pair_013,3,1,50,66,66
irregular_workcell_91701,train,pair_013_n5_013,pair_013,5,2,2,66,66
irregular_workcell_91701,train,pair_014_n3_014,pair_014,3,1,57,66,66
irregular_workcell_91701,train,pair_014_n5_014,pair_014,5,2,2,66,66
irregular_workcell_91701,train,pair_015_n3_015,pair_015,3,1,47,66,66
irregular_workcell_91701,train,pair_015_n5_015,pair_015,5,2,2,66,66
irregular_workcell_91701,train,pair_016_n3_016,pair_016,3,1,60,66,66
irregular_workcell_91701,train,pair_016_n5_016,pair_016,5,2,2,66,66
irregular_workcell_91701,train,pair_017_n3_017,pair_017,3,1,55,66,66
irregular_workcell_91701,train,pair_017_n5_017,pair_017,5,2,2,66,66
irregular_workcell_91701,validation,pair_018_n3_000,pair_018,3,1,13,66,66
irregular_workcell_91701,validation,pair_018_n5_000,pair_018,5,2,13,66,66
irregular_workcell_91701,validation,pair_019_n3_001,pair_019,3,1,2,66,66
irregular_workcell_91701,validation,pair_019_n5_001,pair_019,5,2,2,66,66
irregular_workcell_91701,validation,pair_020_n3_002,pair_020,3,1,41,66,66
irregular_workcell_91701,validation,pair_020_n5_002,pair_020,5,2,2,66,66
irregular_workcell_91701,validation,pair_021_n3_003,pair_021,3,1,27,66,66
irregular_workcell_91701,validation,pair_021_n5_003,pair_021,5,2,27,66,66
irregular_workcell_91701,validation,pair_022_n3_004,pair_022,3,1,64,66,66
irregular_workcell_91701,validation,pair_022_n5_004,pair_022,5,2,2,66,66
irregular_workcell_91701,validation,pair_023_n3_005,pair_023,3,1,50,66,66
irregular_workcell_91701,validation,pair_023_n5_005,pair_023,5,2,2,66,66
irregular_workcell_91701,test,pair_024_n1_000,pair_024,1,1,11,66,66
irregular_workcell_91701,test,pair_024_n3_000,pair_024,3,1,11,66,66
irregular_workcell_91701,test,pair_024_n5_000,pair_024,5,2,11,66,66
irregular_workcell_91701,test,pair_024_n7_000,pair_024,7,2,11,66,66
irregular_workcell_91701,test,pair_025_n1_001,pair_025,1,1,21,66,66
