episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
0,300,300,static,static,0,0,0,-2.1999999999999993,0.99857975,3792,11376,0,0,0,0,0,0,0.0
1,600,300,static,static,0,0,0,-1.8500000000000016,0.99715475,8592,25776,0,0,0,0,0,0,0.0
2,900,300,static,static,0,0,0,-2.4999999999999982,0.99572975,13392,40176,0,0,0,0,0,0,0.0
3,1200,300,static,static,0,0,0,-1.7000000000000013,0.99430475,18192,54576,0,0,0,0,0,0,0.0
4,1500,300,static,static,0,0,0,-2.999999999999998,0.99287975,22992,68976,0,0,0,0,0,0,0.0
5,1800,300,static,static,0,0,0,-1.7000000000000013,0.99145475,27792,83376,0,0,0,0,0,0,0.0
6,2100,300,static,static,0,0,0,-1.6500000000000015,0.99002975,32592,97776,0,0,0,0,0,0,0.0
7,2400,300,static,static,0,0,0,-2.2500000000000004,0.98860475,37392,112176,0,0,0,0,0,0,0.0
8,2700,300,static,static,0,0,0,-3.1,0.98717975,42192,126576,0,0,0,0,0,0,0.0
9,3000,300,static,static,0,0,0,-2.8499999999999974,0.98575475,46992,140976,0,0,0,0,0,0,0.0
10,3300,300,static,static,0,0,0,-2.9000000000000004,0.98432975,51792,155376,0,0,0,0,0,0,0.0
11,3600,300,static,static,0,0,0,-3.149999999999998,0.98290475,56592,169776,0,0,0,0,0,0,0.0
12,3900,300,static,static,0,0,0,-2.75,0.98147975,61392,184176,0,0,0,0,0,0,0.0
13,4200,300,static,static,0,0,0,-1.7000000000000013,0.98005475,66192,198576,0,0,0,0,0,0,0.0
14,4500,300,static,static,0,0,0,-2.899999999999999,0.97862975,70992,212976,0,0,0,0,0,0,0.0
15,4800,300,static,static,0,0,0,-1.7500000000000016,0.97720475,75792,227376,0,0,0,0,0,0,0.0
16,5100,300,static,static,0,0,0,-2.599999999999998,0.9757797500000001,80592,241776,0,0,0,0,0,0,0.0
17,5400,300,static,static,0,0,0,-2.8999999999999995,0.97435475,85392,256176,0,0,0,0,0,0,0.0
18,5700,300,static,static,0,0,0,-2.349999999999998,0.97292975,90192,270576,0,0,0,0,0,0,0.0
19,6000,300,static,static,0,0,0,-1.6500000000000012,0.97150475,94992,284976,0,0,0,0,0,0,0.0
20,6300,300,static,static,0,0,0,-2.7000000000000006,0.97007975,99792,299376,0,0,0,0,0,0,0.0
21,6600,300,static,static,0,0,0,-2.7499999999999987,0.96865475,104592,313776,0,0,0,0,0,0,0.0
22,6900,300,static,static,0,0,0,-2.45,0.96722975,109392,328176,0,0,0,0,0,0,0.0
23,7200,300,static,static,0,0,0,-2.499999999999998,0.96580475,114192,342576,0,0,0,0,0,0,0.0
24,7500,300,static,static,0,0,0,-2.6499999999999986,0.96437975,118992,356976,0,0,0,0,0,0,0.0
