episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
0,48,48,pair_009_n3_009_conflict,conflict,0,1,0,0.38000000000000056,0.29992166666666664,768,2304,38,0,7,0,0,0,0.0
1,141,93,pair_013_n5_013_conflict,conflict,1,0,0,12.330000000000002,0.2997666666666667,2256,6768,66,0,42,0,0,0,0.0
2,203,62,pair_009_n3_009_control,control,0,1,0,0.24000000000000044,0.29966333333333334,3248,9744,91,0,70,0,0,0,0.0
3,210,7,pair_007_n5_007_control,control,0,1,0,-0.86,0.29965166666666665,3360,10080,98,1,73,0,0,0,0.0
4,232,22,pair_000_n5_000_control,control,0,1,0,-0.6600000000000001,0.29961499999999996,3712,11136,120,2,89,0,0,0,0.0
5,314,82,pair_008_n5_008_control,control,1,0,0,12.440000000000001,0.29947833333333335,5024,15072,181,2,162,0,0,0,0.0
6,331,17,pair_012_n3_012_conflict,conflict,0,1,0,-0.66,0.29945,5296,15888,198,2,184,0,0,0,0.0
7,434,103,pair_006_n5_006_conflict,conflict,1,0,0,12.230000000000002,0.2992783333333333,6944,20832,273,2,309,0,0,0,0.0
8,546,112,pair_013_n3_013_conflict,conflict,1,0,0,12.14,0.29909166666666664,8736,26208,303,2,494,0,0,0,0.0
9,569,23,pair_005_n5_005_conflict,conflict,0,1,0,-0.5200000000000002,0.29905333333333334,9104,27312,325,3,532,0,0,0,0.0
10,639,70,pair_013_n3_013_control,control,1,0,0,12.560000000000002,0.29893666666666663,10224,30672,352,3,652,0,0,0,0.0
11,732,93,pair_005_n5_005_control,control,1,0,0,12.330000000000002,0.29878166666666667,11712,35136,384,3,830,0,0,0,0.0
12,744,12,pair_015_n3_015_conflict,conflict,0,1,0,-0.66,0.29876166666666665,11904,35712,396,3,856,0,0,0,0.0
13,828,84,pair_005_n3_005_control,control,1,0,0,12.420000000000002,0.2986216666666667,13248,39744,441,3,1053,0,0,0,0.0
14,911,83,pair_015_n3_015_control,control,1,0,0,12.430000000000001,0.2984833333333333,14576,43728,488,3,1249,0,0,0,0.0
15,990,79,pair_004_n5_004_control,control,0,1,0,0.7700000000000009,0.2983516666666667,15840,47520,533,3,1444,0,0,0,0.0
16,1095,105,pair_010_n5_010_control,control,0,1,0,1.1100000000000012,0.29817666666666665,17520,52560,611,3,1761,0,0,0,0.0
17,1193,98,pair_001_n3_001_conflict,conflict,0,1,0,1.1800000000000015,0.2980133333333333,19088,57264,629,3,2055,0,0,0,0.0
18,1210,17,pair_012_n5_012_conflict,conflict,0,1,0,-0.7100000000000001,0.297985,19360,58080,646,3,2105,0,0,0,0.0
19,1304,94,pair_011_n3_011_control,control,0,1,0,1.1700000000000013,0.2978283333333333,20864,62592,677,3,2413,0,0,0,0.0
20,1344,40,pair_011_n5_011_control,control,0,1,0,-0.0399999999999997,0.29776166666666665,21504,64512,717,3,2586,0,0,0,0.0
21,1355,11,pair_017_n5_017_conflict,conflict,0,1,0,-0.65,0.2977433333333333,21680,65040,728,3,2622,0,0,0,0.0
22,1373,18,pair_003_n5_003_conflict,conflict,0,1,0,-0.37,0.29771333333333333,21968,65904,742,3,2690,0,0,0,0.0
23,1379,6,pair_015_n5_015_conflict,conflict,0,1,0,-0.85,0.2977033333333333,22064,66192,748,3,2727,0,0,0,0.0
24,1386,7,pair_015_n5_015_control,control,0,1,0,-0.86,0.29769166666666663,22176,66528,755,3,2747,0,0,0,0.0
25,1412,26,pair_009_n5_009_control,control,0,1,0,-0.65,0.29764833333333335,22592,67776,781,3,2859,0,0,0,0.0
26,1527,115,pair_010_n5_010_conflict,conflict,1,0,0,12.110000000000001,0.29745666666666665,24432,73296,804,3,3365,0,0,0,0.0
27,1618,91,pair_003_n3_003_control,control,1,0,0,12.350000000000001,0.297305,25888,77664,848,3,3786,0,0,0,0.0
28,1653,35,pair_003_n3_003_conflict,conflict,0,1,0,-0.5400000000000003,0.29724666666666666,26448,79344,881,4,3932,0,0,0,0.0
29,1749,96,pair_010_n3_010_conflict,conflict,0,1,0,1.0500000000000012,0.29708666666666667,27984,83952,949,5,4416,0,0,0,0.0
30,1771,22,pair_014_n3_014_conflict,conflict,0,1,0,-0.66,0.29705,28336,85008,971,5,4535,0,0,0,0.0
31,1790,19,pair_017_n3_017_control,control,0,1,0,-0.6300000000000001,0.29701833333333333,28640,85920,990,6,4627,0,0,0,0.0
32,1888,98,pair_016_n5_016_conflict,conflict,1,0,0,12.280000000000001,0.296855,30208,90624,1071,6,5196,0,0,0,0.0
33,2004,116,pair_000_n3_000_conflict,conflict,0,1,0,0.9500000000000011,0.29666166666666666,32064,96192,1121,6,5911,0,0,0,0.0
34,2074,70,pair_008_n5_008_conflict,conflict,0,1,0,1.2600000000000011,0.296545,33184,99552,1168,6,6364,0,0,0,0.0
35,2159,85,pair_004_n5_004_conflict,conflict,0,1,0,1.2600000000000016,0.2964033333333333,34544,103632,1190,6,6963,0,0,0,0.0
36,2255,96,pair_000_n3_000_control,control,1,0,0,12.3,0.2962433333333333,36080,108240,1229,6,7635,0,0,0,0.0
