episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
0,84,84,pair_003_n5_003_conflict,conflict,1,0,0,12.420000000000002,0.29986166666666664,1344,4032,52,0,8,0,0,0,0.0
1,87,3,pair_002_n5_002_conflict,conflict,0,1,0,-0.92,0.29985666666666666,1391,4177,55,1,10,1,3,1,0.05555555555555555
2,89,2,pair_014_n5_014_conflict,conflict,0,1,0,-0.96,0.2998533333333333,1420,4276,57,1,13,4,5,2,0.1111111111111111
3,108,19,pair_005_n3_005_control,control,0,1,0,-0.4800000000000001,0.29982166666666665,1685,5227,73,1,57,43,9,3,0.16666666666666666
4,273,165,pair_001_n5_001_conflict,conflict,0,1,0,0.4600000000000002,0.2995466666666667,3829,13643,82,1,620,539,13,4,0.2222222222222222
5,449,176,pair_001_n3_001_conflict,conflict,0,1,0,0.40000000000000036,0.2992533333333333,5941,22795,151,1,1442,1243,17,5,0.2777777777777778
6,626,177,pair_004_n3_004_control,control,0,1,0,0.24000000000000044,0.2989583333333333,8029,32035,233,2,2355,1987,25,7,0.3888888888888889
7,926,300,pair_004_n5_004_conflict,conflict,0,0,0,-0.2500000000000005,0.2984583333333333,11029,48235,477,2,4745,3787,25,7,0.3888888888888889
8,936,10,pair_004_n5_004_control,control,0,1,0,-0.84,0.29844166666666666,11124,48780,487,4,4842,3852,37,9,0.5
9,956,20,pair_011_n5_011_control,control,0,1,0,-1.04,0.29840833333333333,11283,49901,507,4,5060,4013,41,10,0.5555555555555556
10,1172,216,pair_003_n3_003_conflict,conflict,0,1,0,-0.14999999999999947,0.2980483333333333,12794,62214,659,4,7677,5958,45,11,0.6111111111111112
11,1192,20,pair_005_n5_005_conflict,conflict,0,1,0,-0.54,0.298015,12913,63375,678,5,7944,6159,49,12,0.6666666666666666
12,1492,300,pair_001_n3_001_control,control,0,0,0,0.14999999999999952,0.297515,14174,81314,923,6,12794,9698,53,13,0.7222222222222222
13,1792,300,pair_006_n5_006_control,control,0,0,0,0.0499999999999992,0.297015,15374,99314,1171,6,18129,13298,53,13,0.7222222222222222
14,1860,68,pair_016_n5_016_control,control,0,1,0,-0.6200000000000003,0.2969016666666667,15646,103394,1239,8,19384,14114,61,14,0.7777777777777778
15,2160,300,pair_007_n5_007_control,control,0,0,0,-0.3500000000000008,0.2964016666666667,16846,121394,1517,9,25251,17714,65,14,0.7777777777777778
16,2460,300,pair_007_n3_007_conflict,conflict,0,0,0,-0.10000000000000091,0.2959016666666667,18046,139394,1609,9,31349,21314,65,14,0.7777777777777778
17,2470,10,pair_008_n5_008_control,control,0,1,0,-1.04,0.295885,18086,139994,1619,10,31566,21434,73,14,0.7777777777777778
18,2770,300,pair_000_n3_000_conflict,conflict,0,0,0,-0.2000000000000004,0.295385,19286,157994,1744,10,37909,25034,73,14,0.7777777777777778
19,3070,300,pair_011_n3_011_conflict,conflict,0,0,0,-0.15000000000000033,0.294885,20486,175994,1834,10,44410,28634,73,14,0.7777777777777778
20,3370,300,pair_010_n3_010_control,control,0,0,0,-0.05000000000000034,0.294385,21686,193994,1952,10,51111,32234,73,14,0.7777777777777778
21,3670,300,pair_002_n3_002_control,control,0,0,0,-0.1000000000000004,0.293885,22886,211994,2102,10,58100,35834,73,14,0.7777777777777778
22,3827,157,pair_017_n5_017_conflict,conflict,1,0,0,11.690000000000001,0.29362333333333335,23514,221414,2167,11,61835,37718,77,14,0.7777777777777778
23,3857,30,pair_016_n3_016_conflict,conflict,0,1,0,-0.84,0.2935733333333333,23608,223240,2197,12,62567,38104,85,16,0.8888888888888888
24,3982,125,pair_012_n5_012_conflict,conflict,0,1,0,1.0100000000000011,0.293365,23857,230991,2251,13,65897,39855,93,17,0.9444444444444444
25,4002,20,pair_000_n3_000_control,control,0,1,0,-0.6400000000000001,0.29333166666666666,23876,232252,2271,14,66457,40156,97,18,1.0
26,4010,8,pair_007_n3_007_control,control,0,1,0,-0.9199999999999999,0.29331833333333335,23876,232764,2279,14,66683,40284,101,19,1.0
27,4310,300,pair_008_n3_008_conflict,conflict,0,0,0,-0.14999999999999997,0.29281833333333335,23876,251964,2505,14,75444,45084,101,19,1.0
28,4610,300,pair_012_n3_012_control,control,0,0,0,-1.0000000000000009,0.29231833333333335,23876,271164,2536,14,84499,49884,101,19,1.0
29,4910,300,pair_010_n5_010_control,control,0,0,0,-0.20000000000000032,0.29181833333333335,23876,290364,2792,14,93739,54684,101,19,1.0
30,4920,10,pair_015_n3_015_conflict,conflict,0,1,0,-0.99,0.2918016666666667,23876,291004,2802,14,94048,54844,105,20,1.0
31,5106,186,pair_013_n5_013_conflict,conflict,1,0,0,11.4,0.29149166666666665,23876,302908,2915,14,100015,57820,105,20,1.0
32,5133,27,pair_006_n3_006_conflict,conflict,0,1,0,-1.21,0.29144666666666663,23876,304636,2942,16,100882,58252,117,21,1.0
33,5433,300,pair_000_n5_000_conflict,conflict,0,0,0,-1.3000000000000012,0.29094666666666663,23876,323836,2951,16,110593,63052,117,21,1.0
34,5620,187,pair_006_n3_006_control,control,1,0,0,11.39,0.290635,23876,335804,2988,17,116712,66044,121,21,1.0
35,5857,237,pair_011_n5_011_conflict,conflict,0,1,0,-0.41000000000000014,0.29024,23876,350972,3202,19,124506,69836,133,22,1.0
