episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
0,3,3,pair_012_n3_012_control,control,0,1,0,-1.02,0.29999666666666663,48,144,3,0,0,0,0,0,0.0
1,106,103,pair_010_n3_010_control,control,0,1,0,1.080000000000001,0.299825,1696,5088,15,0,3,0,0,0,0.0
2,108,2,pair_007_n5_007_control,control,0,1,0,-0.96,0.29982166666666665,1728,5184,17,0,3,0,0,0,0.0
3,111,3,pair_002_n5_002_control,control,0,1,0,-0.97,0.2998166666666667,1776,5328,20,0,3,0,0,0,0.0
4,190,79,pair_008_n3_008_conflict,conflict,1,0,0,12.470000000000002,0.299685,3040,9120,44,0,24,0,0,0,0.0
5,298,108,pair_003_n3_003_conflict,conflict,0,1,0,1.0800000000000018,0.29950499999999997,4768,14304,65,0,54,0,0,0,0.0
6,300,2,pair_016_n5_016_control,control,0,1,0,-0.96,0.29950166666666667,4800,14400,67,0,55,0,0,0,0.0
7,302,2,pair_011_n5_011_control,control,0,1,0,-0.96,0.2994983333333333,4832,14496,69,0,57,0,0,0,0.0
8,416,114,pair_016_n3_016_conflict,conflict,1,0,0,12.120000000000001,0.29930833333333334,6656,19968,108,0,116,0,0,0,0.0
9,418,2,pair_009_n5_009_conflict,conflict,0,1,0,-0.96,0.299305,6688,20064,110,0,117,0,0,0,0.0
10,422,4,pair_011_n5_011_conflict,conflict,0,1,0,-0.98,0.29929833333333333,6752,20256,114,0,117,0,0,0,0.0
11,516,94,pair_004_n5_004_control,control,0,1,0,1.020000000000001,0.29914166666666664,8256,24768,147,0,186,0,0,0,0.0
12,605,89,pair_012_n3_012_conflict,conflict,1,0,0,12.370000000000001,0.29899333333333333,9680,29040,188,0,263,0,0,0,0.0
13,622,17,pair_005_n5_005_control,control,0,1,0,-0.56,0.298965,9952,29856,205,0,277,0,0,0,0.0
14,634,12,pair_014_n5_014_conflict,conflict,0,1,0,-0.66,0.298945,10144,30432,217,0,294,0,0,0,0.0
15,738,104,pair_010_n5_010_conflict,conflict,1,0,0,12.22,0.29877166666666666,11808,35424,271,0,429,0,0,0,0.0
16,848,110,pair_017_n3_017_control,control,1,0,0,12.160000000000002,0.29858833333333334,13568,40704,310,0,626,0,0,0,0.0
17,850,2,pair_002_n5_002_conflict,conflict,0,1,0,-0.96,0.298585,13600,40800,312,0,627,0,0,0,0.0
18,936,86,pair_013_n5_013_control,control,1,0,0,12.400000000000002,0.29844166666666666,14976,44928,384,0,791,0,0,0,0.0
19,957,21,pair_012_n5_012_control,control,0,1,0,-0.19999999999999984,0.29840666666666665,15312,45936,405,0,836,0,0,0,0.0
20,1051,94,pair_017_n5_017_conflict,conflict,1,0,0,12.32,0.29825,16816,50448,456,0,1064,0,0,0,0.0
21,1154,103,pair_010_n5_010_control,control,1,0,0,12.23,0.29807833333333333,18464,55392,507,0,1334,0,0,0,0.0
22,1161,7,pair_017_n3_017_conflict,conflict,0,1,0,-0.81,0.29806666666666665,18576,55728,514,0,1346,0,0,0,0.0
23,1258,97,pair_003_n5_003_control,control,1,0,0,12.290000000000001,0.297905,20128,60384,526,0,1601,0,0,0,0.0
24,1279,21,pair_015_n3_015_conflict,conflict,0,1,0,-0.6000000000000001,0.29786999999999997,20464,61392,547,0,1653,0,0,0,0.0
25,1380,101,pair_003_n5_003_conflict,conflict,0,1,0,1.1500000000000012,0.29770166666666664,22080,66240,597,0,1982,0,0,0,0.0
26,1385,5,pair_016_n5_016_conflict,conflict,0,1,0,-0.84,0.2976933333333333,22160,66480,602,1,1999,0,0,0,0.0
27,1466,81,pair_001_n5_001_conflict,conflict,1,0,0,12.450000000000003,0.2975583333333333,23456,70368,640,1,2282,0,0,0,0.0
28,1556,90,pair_002_n3_002_control,control,1,0,0,12.360000000000001,0.29740833333333333,24896,74688,665,1,2618,0,0,0,0.0
29,1673,117,pair_005_n3_005_control,control,1,0,0,12.090000000000002,0.29721333333333333,26768,80304,686,1,3047,0,0,0,0.0
30,1768,95,pair_010_n3_010_conflict,conflict,1,0,0,12.310000000000002,0.297055,28288,84864,752,1,3436,0,0,0,0.0
31,1878,110,pair_004_n3_004_conflict,conflict,1,0,0,12.160000000000002,0.29687166666666664,30048,90144,794,1,3900,0,0,0,0.0
32,1886,8,pair_006_n5_006_control,control,0,1,0,-0.87,0.29685833333333334,30176,90528,802,1,3933,0,0,0,0.0
33,2002,116,pair_007_n3_007_conflict,conflict,0,1,0,1.100000000000001,0.296665,32032,96096,830,1,4439,0,0,0,0.0
34,2111,109,pair_001_n3_001_control,control,1,0,0,12.170000000000002,0.2964833333333333,33776,101328,892,1,4986,0,0,0,0.0
35,2235,124,pair_007_n5_007_conflict,conflict,1,0,0,12.020000000000001,0.29627666666666663,35760,107280,931,1,5589,0,0,0,0.0
36,2356,121,pair_006_n5_006_conflict,conflict,1,0,0,12.05,0.296075,37696,113088,975,1,6190,0,0,0,0.0
37,2442,86,pair_017_n5_017_control,control,1,0,0,12.400000000000002,0.29593166666666665,39072,117216,1004,1,6693,0,0,0,0.0
38,2539,97,pair_000_n3_000_conflict,conflict,1,0,0,12.290000000000003,0.29577,40624,121872,1051,2,7235,0,0,0,0.0
39,2633,94,pair_008_n5_008_control,control,1,0,0,12.320000000000002,0.29561333333333334,42128,126384,1137,2,7814,0,0,0,0.0
40,2722,89,pair_002_n3_002_conflict,conflict,1,0,0,12.370000000000001,0.295465,43552,130656,1164,2,8383,0,0,0,0.0
41,2815,93,pair_000_n5_000_control,control,1,0,0,12.330000000000002,0.29530999999999996,45040,135120,1214,2,9002,0,0,0,0.0
42,2823,8,pair_008_n5_008_conflict,conflict,0,1,0,-0.77,0.29529666666666665,45168,135504,1222,2,9058,0,0,0,0.0
43,2917,94,pair_001_n3_001_conflict,conflict,1,0,0,12.32,0.29514,46672,140016,1235,2,9671,0,0,0,0.0
44,3019,102,pair_012_n5_012_conflict,conflict,1,0,0,12.240000000000002,0.29497,48304,144912,1277,2,10423,0,0,0,0.0
45,3106,87,pair_013_n5_013_conflict,conflict,1,0,0,12.39,0.294825,49696,149088,1307,2,11011,0,0,0,0.0
46,3199,93,pair_011_n3_011_control,control,1,0,0,12.330000000000002,0.29467,51184,153552,1365,2,11694,0,0,0,0.0
47,3283,84,pair_013_n3_013_control,control,1,0,0,12.420000000000002,0.29453,52528,157584,1392,2,12338,0,0,0,0.0
48,3381,98,pair_015_n5_015_control,control,1,0,0,12.280000000000001,0.29436666666666667,54096,162288,1428,2,13063,0,0,0,0.0
49,3480,99,pair_008_n3_008_control,control,1,0,0,12.270000000000001,0.29420166666666664,55680,167040,1454,2,13828,0,0,0,0.0
50,3573,93,pair_004_n5_004_conflict,conflict,1,0,0,12.330000000000002,0.2940466666666667,57168,171504,1494,2,14585,0,0,0,0.0
51,3673,100,pair_006_n3_006_control,control,1,0,0,12.260000000000002,0.29388,58768,176304,1539,2,15425,0,0,0,0.0
