method,obstacle_count,safe_success,dynamic_collision,timeout,wait_steps
fixed_00,1,1.0,0.0,0.0,0.08333333333333333
fixed_00,3,0.9722222222222222,0.027777777777777776,0.0,0.5277777777777778
fixed_00,5,0.9166666666666666,0.08333333333333333,0.0,0.75
fixed_00,7,0.8611111111111112,0.1388888888888889,0.0,0.8055555555555557
fixed_10,1,1.0,0.0,0.0,0.0
fixed_10,3,0.8611111111111112,0.0,0.1388888888888889,0.0
fixed_10,5,0.888888888888889,0.0,0.1111111111111111,0.3055555555555555
fixed_10,7,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.47222222222222227
fixed_25,1,0.9722222222222222,0.027777777777777776,0.0,0.027777777777777776
fixed_25,3,0.9722222222222222,0.027777777777777776,0.0,0.1388888888888889
fixed_25,5,0.9722222222222222,0.027777777777777776,0.0,0.4166666666666667
fixed_25,7,0.8888888888888888,0.1111111111111111,0.0,0.47222222222222227
time_decay,1,1.0,0.0,0.0,0.05555555555555555
time_decay,3,1.0,0.0,0.0,0.25
time_decay,5,1.0,0.0,0.0,0.4444444444444444
time_decay,7,0.9444444444444443,0.05555555555555555,0.0,0.47222222222222227
risk_handover,1,0.9444444444444443,0.027777777777777776,0.027777777777777776,0.13888888888888887
risk_handover,3,0.9444444444444443,0.027777777777777776,0.027777777777777776,0.47222222222222227
risk_handover,5,0.6666666666666666,0.2777777777777778,0.05555555555555555,1.3333333333333333
risk_handover,7,0.6388888888888888,0.2777777777777778,0.08333333333333333,10.722222222222221
intervention_only,1,0.8333333333333334,0.16666666666666666,0.0,0.0
intervention_only,3,0.6388888888888888,0.3611111111111111,0.0,0.0
intervention_only,5,0.2777777777777778,0.7222222222222223,0.0,0.0
intervention_only,7,0.25,0.75,0.0,0.0
safe_replay_04,1,0.8611111111111112,0.13888888888888887,0.0,0.0
safe_replay_04,3,0.5277777777777778,0.47222222222222215,0.0,0.0
safe_replay_04,5,0.1388888888888889,0.8611111111111112,0.0,0.0
safe_replay_04,7,0.1388888888888889,0.8611111111111112,0.0,0.0
safe_replay_08,1,0.8611111111111112,0.13888888888888887,0.0,0.0
safe_replay_08,3,0.5,0.5,0.0,0.0
safe_replay_08,5,0.22222222222222224,0.7777777777777778,0.0,0.0
safe_replay_08,7,0.1111111111111111,0.888888888888889,0.0,0.0
