method,seed,obstacle_count,n_scenarios,safe_success,dynamic_collision,timeout,wait_steps
fixed_00,0,1,12,1.0,0.0,0.0,0.0
fixed_00,0,3,12,1.0,0.0,0.0,0.0
fixed_00,0,5,12,1.0,0.0,0.0,0.0
fixed_00,0,7,12,1.0,0.0,0.0,0.0
fixed_10,0,1,12,1.0,0.0,0.0,0.0
fixed_10,0,3,12,1.0,0.0,0.0,0.0
fixed_10,0,5,12,1.0,0.0,0.0,0.0
fixed_10,0,7,12,1.0,0.0,0.0,0.0
fixed_25,0,1,12,1.0,0.0,0.0,0.0
fixed_25,0,3,12,1.0,0.0,0.0,0.0
fixed_25,0,5,12,1.0,0.0,0.0,0.0
fixed_25,0,7,12,1.0,0.0,0.0,0.0
time_decay,0,1,12,1.0,0.0,0.0,0.0
time_decay,0,3,12,1.0,0.0,0.0,0.0
time_decay,0,5,12,1.0,0.0,0.0,0.0
time_decay,0,7,12,0.9166666666666666,0.08333333333333333,0.0,0.0
risk_handover,0,1,12,1.0,0.0,0.0,0.16666666666666666
risk_handover,0,3,12,1.0,0.0,0.0,1.1666666666666667
risk_handover,0,5,12,0.6666666666666666,0.25,0.08333333333333333,1.9166666666666667
risk_handover,0,7,12,0.6666666666666666,0.25,0.08333333333333333,2.0833333333333335
intervention_only,0,1,12,0.6666666666666666,0.3333333333333333,0.0,0.0
intervention_only,0,3,12,0.6666666666666666,0.3333333333333333,0.0,0.0
intervention_only,0,5,12,0.16666666666666666,0.8333333333333334,0.0,0.0
intervention_only,0,7,12,0.16666666666666666,0.8333333333333334,0.0,0.0
safe_replay_04,0,1,12,0.8333333333333334,0.16666666666666666,0.0,0.0
safe_replay_04,0,3,12,0.3333333333333333,0.6666666666666666,0.0,0.0
safe_replay_04,0,5,12,0.0,1.0,0.0,0.0
safe_replay_04,0,7,12,0.0,1.0,0.0,0.0
safe_replay_08,0,1,12,0.9166666666666666,0.08333333333333333,0.0,0.0
safe_replay_08,0,3,12,0.3333333333333333,0.6666666666666666,0.0,0.0
safe_replay_08,0,5,12,0.25,0.75,0.0,0.0
safe_replay_08,0,7,12,0.16666666666666666,0.8333333333333334,0.0,0.0
fixed_00,1,1,12,1.0,0.0,0.0,0.16666666666666666
fixed_00,1,3,12,0.9166666666666666,0.08333333333333333,0.0,0.5
fixed_00,1,5,12,0.75,0.25,0.0,1.0833333333333333
fixed_00,1,7,12,0.5833333333333334,0.4166666666666667,0.0,0.75
fixed_10,1,1,12,1.0,0.0,0.0,0.0
fixed_10,1,3,12,1.0,0.0,0.0,0.0
fixed_10,1,5,12,0.8333333333333334,0.0,0.16666666666666666,0.25
fixed_10,1,7,12,0.5833333333333334,0.25,0.16666666666666666,0.4166666666666667
fixed_25,1,1,12,1.0,0.0,0.0,0.08333333333333333
fixed_25,1,3,12,1.0,0.0,0.0,0.4166666666666667
fixed_25,1,5,12,1.0,0.0,0.0,0.75
fixed_25,1,7,12,1.0,0.0,0.0,1.0
time_decay,1,1,12,1.0,0.0,0.0,0.0
time_decay,1,3,12,1.0,0.0,0.0,0.0
time_decay,1,5,12,1.0,0.0,0.0,0.0
time_decay,1,7,12,1.0,0.0,0.0,0.0
risk_handover,1,1,12,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333
risk_handover,1,3,12,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333
risk_handover,1,5,12,0.4166666666666667,0.5833333333333334,0.0,1.0
