episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,84,84,pair_003_n5_003_conflict,conflict,1,0,0,12.420000000000002,0.29986166666666664,1344,4032,52,0,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0
1,174,90,pair_002_n5_002_conflict,conflict,1,0,0,12.360000000000001,0.29971166666666665,2784,8352,92,1,134,0,0,0,0.0,1,1,0,0,0,1,88,1,1
2,306,132,pair_014_n5_014_conflict,conflict,1,0,0,11.940000000000001,0.29949166666666666,4896,14688,193,5,929,0,0,0,0.0,6,6,0,0,0,6,791,6,4
3,428,122,pair_005_n3_005_control,control,1,0,0,12.040000000000001,0.2992883333333333,6848,20544,268,7,1985,0,0,0,0.0,9,9,0,0,0,9,1715,9,7
4,528,100,pair_001_n5_001_conflict,conflict,1,0,0,12.260000000000002,0.2991216666666667,8448,25344,350,7,2922,0,0,0,0.0,9,9,0,0,0,9,2515,9,7
5,639,111,pair_001_n3_001_conflict,conflict,1,0,0,12.150000000000002,0.29893666666666663,10224,30672,425,9,3985,0,0,0,0.0,14,14,0,0,0,14,3403,14,11
6,729,90,pair_004_n3_004_control,control,1,0,0,12.360000000000001,0.29878666666666664,11664,34992,460,10,4904,0,0,0,0.0,15,15,0,0,0,15,4123,15,11
7,822,93,pair_004_n5_004_conflict,conflict,1,0,0,12.330000000000002,0.29863166666666663,13152,39456,528,12,5868,0,0,0,0.0,18,18,0,0,0,18,4867,18,11
8,937,115,pair_004_n5_004_control,control,1,0,0,12.110000000000001,0.29844,14992,44976,612,13,7085,0,0,0,0.0,20,20,0,0,0,20,5787,20,11
9,1026,89,pair_011_n5_011_control,control,1,0,0,12.370000000000001,0.2982916666666667,16416,49248,684,14,8057,0,0,0,0.0,21,21,0,0,0,21,6499,21,11
10,1133,107,pair_003_n3_003_conflict,conflict,1,0,0,12.190000000000001,0.29811333333333334,18128,54384,743,14,9256,0,0,0,0.0,22,22,0,0,0,22,7355,22,11
11,1233,100,pair_005_n5_005_conflict,conflict,1,0,0,12.260000000000002,0.29794666666666664,19728,59184,803,14,10436,0,0,0,0.0,24,24,0,0,0,24,8155,24,12
12,1338,105,pair_001_n3_001_control,control,1,0,0,12.21,0.29777166666666666,21408,64224,857,14,11665,0,0,0,0.0,24,24,0,0,0,24,8995,24,12
13,1438,100,pair_006_n5_006_control,control,1,0,0,12.260000000000002,0.297605,23008,69024,947,17,12853,0,0,0,0.0,28,28,0,0,0,28,9795,28,12
14,1525,87,pair_016_n5_016_control,control,1,0,0,12.390000000000002,0.29746,24400,73200,1006,18,13938,0,0,0,0.0,34,34,0,0,0,34,10491,34,13
15,1617,92,pair_007_n5_007_control,control,1,0,0,12.340000000000002,0.29730666666666666,25872,77616,1072,19,15103,0,0,0,0.0,39,39,0,0,0,39,11227,39,15
16,1700,83,pair_007_n3_007_conflict,conflict,1,0,0,12.430000000000001,0.2971683333333333,27200,81600,1139,21,16193,0,0,0,0.0,42,42,0,0,0,42,11891,42,15
17,1796,96,pair_008_n5_008_control,control,1,0,0,12.3,0.2970083333333333,28736,86208,1172,21,17454,0,0,0,0.0,42,42,0,0,0,42,12659,42,15
18,1900,104,pair_000_n3_000_conflict,conflict,1,0,0,12.22,0.296835,30400,91200,1226,21,18892,0,0,0,0.0,42,42,0,0,0,42,13491,42,15
19,1988,88,pair_011_n3_011_conflict,conflict,1,0,0,12.380000000000003,0.29668833333333333,31808,95424,1265,21,20080,0,0,0,0.0,42,42,0,0,0,42,14195,42,15
20,2088,100,pair_010_n3_010_control,control,1,0,0,12.260000000000002,0.2965216666666667,33408,100224,1315,21,21476,0,0,0,0.0,42,42,0,0,0,42,14995,42,15
21,2176,88,pair_002_n3_002_control,control,1,0,0,12.38,0.296375,34816,104448,1347,21,22733,0,0,0,0.0,44,44,0,0,0,44,15699,44,16
22,2269,93,pair_017_n5_017_conflict,conflict,1,0,0,12.330000000000002,0.29622,36304,108912,1404,22,24063,0,0,0,0.0,45,45,0,0,0,45,16443,45,16
23,2360,91,pair_016_n3_016_conflict,conflict,1,0,0,12.350000000000001,0.2960683333333333,37760,113280,1454,22,25392,0,0,0,0.0,46,46,0,0,0,46,17171,46,16
24,2453,93,pair_012_n5_012_conflict,conflict,1,0,0,12.330000000000002,0.2959133333333333,39248,117744,1515,25,26761,0,0,0,0.0,49,49,0,0,0,49,17915,49,16
25,2550,97,pair_000_n3_000_control,control,1,0,0,12.290000000000001,0.29575166666666663,40800,122400,1561,25,28243,0,0,0,0.0,50,50,0,0,0,50,18691,50,16
