seed,scenario_id,matches_saved_final_validation,differences
0,pair_018_n3_000_control,1,
0,pair_018_n3_000_conflict,1,
0,pair_018_n5_000_control,1,
0,pair_018_n5_000_conflict,1,
0,pair_019_n3_001_control,1,
0,pair_019_n3_001_conflict,1,
0,pair_019_n5_001_control,1,
0,pair_019_n5_001_conflict,1,
0,pair_020_n3_002_control,1,
0,pair_020_n3_002_conflict,1,
0,pair_020_n5_002_control,1,
0,pair_020_n5_002_conflict,1,
0,pair_021_n3_003_control,1,
0,pair_021_n3_003_conflict,1,
0,pair_021_n5_003_control,1,
0,pair_021_n5_003_conflict,1,
0,pair_022_n3_004_control,1,
0,pair_022_n3_004_conflict,1,
0,pair_022_n5_004_control,1,
0,pair_022_n5_004_conflict,1,
0,pair_023_n3_005_control,1,
0,pair_023_n3_005_conflict,1,
0,pair_023_n5_005_control,1,
0,pair_023_n5_005_conflict,1,
1,pair_018_n3_000_control,1,
1,pair_018_n3_000_conflict,1,
1,pair_018_n5_000_control,1,
1,pair_018_n5_000_conflict,1,
1,pair_019_n3_001_control,1,
1,pair_019_n3_001_conflict,1,
1,pair_019_n5_001_control,1,
1,pair_019_n5_001_conflict,1,
1,pair_020_n3_002_control,1,
1,pair_020_n3_002_conflict,1,
1,pair_020_n5_002_control,1,
1,pair_020_n5_002_conflict,1,
1,pair_021_n3_003_control,1,
1,pair_021_n3_003_conflict,1,
1,pair_021_n5_003_control,1,
1,pair_021_n5_003_conflict,1,
1,pair_022_n3_004_control,1,
1,pair_022_n3_004_conflict,1,
1,pair_022_n5_004_control,1,
1,pair_022_n5_004_conflict,1,
1,pair_023_n3_005_control,1,
1,pair_023_n3_005_conflict,1,
1,pair_023_n5_005_control,1,
1,pair_023_n5_005_conflict,1,
2,pair_018_n3_000_control,1,
2,pair_018_n3_000_conflict,1,
2,pair_018_n5_000_control,1,
2,pair_018_n5_000_conflict,1,
2,pair_019_n3_001_control,1,
2,pair_019_n3_001_conflict,1,
2,pair_019_n5_001_control,1,
2,pair_019_n5_001_conflict,1,
2,pair_020_n3_002_control,1,
2,pair_020_n3_002_conflict,1,
2,pair_020_n5_002_control,1,
2,pair_020_n5_002_conflict,1,
2,pair_021_n3_003_control,1,
2,pair_021_n3_003_conflict,1,
2,pair_021_n5_003_control,1,
2,pair_021_n5_003_conflict,1,
2,pair_022_n3_004_control,1,
2,pair_022_n3_004_conflict,1,
2,pair_022_n5_004_control,1,
2,pair_022_n5_004_conflict,1,
2,pair_023_n3_005_control,1,
2,pair_023_n3_005_conflict,1,
2,pair_023_n5_005_control,1,
2,pair_023_n5_005_conflict,1,
