scenario_id,critical_step,seed,outcome,position_before_critical_action,critical_action,critical_action_name
pair_018_n5_000_conflict,63,0,success,"[33, 35]",3,right
pair_018_n5_000_conflict,63,1,dynamic_collision,"[33, 35]",1,down
pair_018_n5_000_conflict,63,2,success,"[39, 29]",3,right
pair_019_n5_001_conflict,63,0,success,"[33, 35]",3,right
pair_019_n5_001_conflict,63,1,dynamic_collision,"[33, 35]",1,down
pair_019_n5_001_conflict,63,2,success,"[39, 27]",3,right
pair_021_n5_003_conflict,63,0,success,"[29, 33]",3,right
pair_021_n5_003_conflict,63,1,dynamic_collision,"[33, 35]",1,down
pair_021_n5_003_conflict,63,2,success,"[39, 29]",3,right
pair_022_n3_004_conflict,63,0,success,"[28, 34]",3,right
pair_022_n3_004_conflict,63,1,dynamic_collision,"[33, 35]",1,down
pair_022_n3_004_conflict,63,2,success,"[39, 29]",3,right
pair_022_n5_004_conflict,63,0,success,"[33, 35]",3,right
pair_022_n5_004_conflict,63,1,dynamic_collision,"[33, 35]",1,down
pair_022_n5_004_conflict,63,2,success,"[39, 27]",3,right
