scenario_id,source_failure_seed,critical_step,position,network_seed,failing_network_action,greedy_action,greedy_action_name,greedy_action_risky,q_up,q_down,q_left,q_right,q_stay,best_safe_q,best_risky_q,safe_minus_risky_q,demo_action_margin_covers_state,demo_blocked_actions,all_action_blocked_actions,all_action_safe_actions
pair_018_n5_000_conflict,1,63,"[33, 35]",0,1,3,right,0,9.706647872924805,9.872079849243164,9.706789016723633,9.883102416992188,9.783583641052246,9.883102416992188,9.872079849243164,0.011022567749023438,0,[],[1],"[0, 2, 3, 4]"
pair_018_n5_000_conflict,1,63,"[33, 35]",1,1,1,down,1,9.603435516357422,9.785155296325684,9.596948623657227,9.784721374511719,9.689863204956055,9.784721374511719,9.785155296325684,-0.00043392181396484375,0,[],[1],"[0, 2, 3, 4]"
pair_018_n5_000_conflict,1,63,"[33, 35]",2,1,3,right,0,9.499335289001465,9.63366413116455,9.529622077941895,9.728350639343262,9.641621589660645,9.728350639343262,9.63366413116455,0.09468650817871094,0,[],[1],"[0, 2, 3, 4]"
pair_019_n5_001_conflict,1,63,"[33, 35]",0,1,3,right,0,9.706647872924805,9.872079849243164,9.706789016723633,9.883102416992188,9.783583641052246,9.883102416992188,9.872079849243164,0.011022567749023438,0,[],[1],"[0, 2, 3, 4]"
pair_019_n5_001_conflict,1,63,"[33, 35]",1,1,1,down,1,9.603435516357422,9.785155296325684,9.596948623657227,9.784721374511719,9.689863204956055,9.784721374511719,9.785155296325684,-0.00043392181396484375,0,[],[1],"[0, 2, 3, 4]"
pair_019_n5_001_conflict,1,63,"[33, 35]",2,1,3,right,0,9.499335289001465,9.63366413116455,9.529622077941895,9.728350639343262,9.641621589660645,9.728350639343262,9.63366413116455,0.09468650817871094,0,[],[1],"[0, 2, 3, 4]"
pair_021_n5_003_conflict,1,63,"[33, 35]",0,1,3,right,0,9.706647872924805,9.872079849243164,9.706789016723633,9.883102416992188,9.783583641052246,9.883102416992188,9.872079849243164,0.011022567749023438,0,[],[1],"[0, 2, 3, 4]"
pair_021_n5_003_conflict,1,63,"[33, 35]",1,1,1,down,1,9.603435516357422,9.785155296325684,9.596948623657227,9.784721374511719,9.689863204956055,9.784721374511719,9.785155296325684,-0.00043392181396484375,0,[],[1],"[0, 2, 3, 4]"
pair_021_n5_003_conflict,1,63,"[33, 35]",2,1,3,right,0,9.499335289001465,9.63366413116455,9.529622077941895,9.728350639343262,9.641621589660645,9.728350639343262,9.63366413116455,0.09468650817871094,0,[],[1],"[0, 2, 3, 4]"
pair_022_n3_004_conflict,1,63,"[33, 35]",0,1,3,right,0,9.706647872924805,9.872079849243164,9.706789016723633,9.883102416992188,9.783583641052246,9.883102416992188,9.872079849243164,0.011022567749023438,0,[],[1],"[0, 2, 3, 4]"
pair_022_n3_004_conflict,1,63,"[33, 35]",1,1,1,down,1,9.603435516357422,9.785155296325684,9.596948623657227,9.784721374511719,9.689863204956055,9.784721374511719,9.785155296325684,-0.00043392181396484375,0,[],[1],"[0, 2, 3, 4]"
pair_022_n3_004_conflict,1,63,"[33, 35]",2,1,3,right,0,9.499335289001465,9.63366413116455,9.529622077941895,9.728350639343262,9.641621589660645,9.728350639343262,9.63366413116455,0.09468650817871094,0,[],[1],"[0, 2, 3, 4]"
pair_022_n5_004_conflict,1,63,"[33, 35]",0,1,3,right,0,9.706647872924805,9.872079849243164,9.706789016723633,9.883102416992188,9.783583641052246,9.883102416992188,9.872079849243164,0.011022567749023438,0,[],[1],"[0, 2, 3, 4]"
pair_022_n5_004_conflict,1,63,"[33, 35]",1,1,1,down,1,9.603435516357422,9.785155296325684,9.596948623657227,9.784721374511719,9.689863204956055,9.784721374511719,9.785155296325684,-0.00043392181396484375,0,[],[1],"[0, 2, 3, 4]"
pair_022_n5_004_conflict,1,63,"[33, 35]",2,1,3,right,0,9.499335289001465,9.63366413116455,9.529622077941895,9.728350639343262,9.641621589660645,9.728350639343262,9.63366413116455,0.09468650817871094,0,[],[1],"[0, 2, 3, 4]"
