episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_marked_total,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,action_margin_candidate_steps_cumulative,action_margin_labeled_steps_cumulative,action_margin_safe_labels_cumulative,action_margin_blocked_labels_cumulative,action_margin_mean_loss,action_margin_batch_items_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,84,84,pair_003_n5_003_conflict,conflict,1,0,0,12.420000000000002,0.29986166666666664,1344,4032,52,0,8,0,0,0,0,0.0,0,0,0,0,0,0,84,5,19,5,0.0,0,0,0,0
1,87,3,pair_002_n5_002_conflict,conflict,0,1,0,-0.92,0.29985666666666666,1392,4176,55,1,9,0,0,0,0,0.0,0,0,0,0,0,0,87,6,23,6,0.0,0,0,0,0
2,89,2,pair_014_n5_014_conflict,conflict,0,1,0,-0.96,0.2998533333333333,1424,4272,57,1,9,0,0,0,0,0.0,0,0,0,0,0,0,89,7,27,7,0.0,0,0,0,0
3,116,27,pair_005_n3_005_control,control,0,1,0,-0.41000000000000014,0.29980833333333334,1856,5568,81,1,16,0,0,0,0,0.0,0,0,0,0,0,0,116,9,34,9,0.012536295529069572,2,0,0,0
4,253,137,pair_001_n5_001_conflict,conflict,1,0,0,11.89,0.29958,4048,12144,97,1,84,0,0,0,0,0.0,0,0,0,0,0,0,253,11,42,11,0.03392600824710409,12,0,0,0
5,553,300,pair_001_n3_001_conflict,conflict,0,0,0,-0.10000000000000059,0.29908,8848,26544,134,1,236,0,0,0,0,0.0,0,0,0,0,0,0,553,11,42,11,0.027620147408456096,32,0,0,0
6,853,300,pair_004_n3_004_control,control,0,0,0,-1.7000000000000017,0.29858,13648,40944,152,1,504,0,0,0,0,0.0,0,0,0,0,0,0,853,11,42,11,0.022151313660991708,54,0,0,0
7,970,117,pair_004_n5_004_conflict,conflict,0,1,0,0.7400000000000009,0.298385,15520,46560,194,1,616,0,0,0,0,0.0,0,0,0,0,0,0,970,12,46,12,0.019841677380591324,61,0,0,0
8,1098,128,pair_004_n5_004_control,control,0,1,0,0.6300000000000006,0.29817166666666667,17568,52704,247,1,780,0,0,0,0,0.0,0,0,0,0,0,0,1098,13,50,13,0.020290594500487837,68,0,0,0
9,1270,172,pair_011_n5_011_control,control,0,1,0,0.2400000000000002,0.297885,20320,60960,399,1,1085,0,0,0,0,0.0,0,0,0,0,0,0,1270,16,62,16,0.02152112337547963,80,0,0,0
