episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_marked_total,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,action_margin_candidate_steps_cumulative,action_margin_labeled_steps_cumulative,action_margin_safe_labels_cumulative,action_margin_blocked_labels_cumulative,action_margin_mean_loss,action_margin_batch_items_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
0,48,48,pair_009_n3_009_conflict,conflict,0,1,0,0.38000000000000056,0.29992166666666664,768,2304,38,0,7,0,0,0,0,0.0,0,0,0,0,0,0,48,0,0,0,0.0,0,0,0,0
1,141,93,pair_013_n5_013_conflict,conflict,1,0,0,12.330000000000002,0.2997666666666667,2256,6768,66,0,42,0,0,0,0,0.0,0,0,0,0,0,0,141,0,0,0,0.0,0,0,0,0
2,203,62,pair_009_n3_009_control,control,0,1,0,0.24000000000000044,0.29966333333333334,3248,9744,91,0,70,0,0,0,0,0.0,0,0,0,0,0,0,203,0,0,0,0.0,0,0,0,0
3,210,7,pair_007_n5_007_control,control,0,1,0,-0.86,0.29965166666666665,3360,10080,98,1,73,0,0,0,0,0.0,0,0,0,0,0,0,210,1,4,1,0.0,0,0,0,0
4,232,22,pair_000_n5_000_control,control,0,1,0,-0.6600000000000001,0.29961499999999996,3712,11136,120,2,89,0,0,0,0,0.0,0,0,0,0,0,0,232,2,7,2,0.0,0,0,0,0
5,314,82,pair_008_n5_008_control,control,0,1,0,1.3400000000000012,0.29947833333333335,5024,15072,179,2,162,0,0,0,0,0.0,0,0,0,0,0,0,314,2,7,2,0.007621825880305782,3,0,0,0
6,331,17,pair_012_n3_012_conflict,conflict,0,1,0,-0.66,0.29945,5296,15888,196,2,184,0,0,0,0,0.0,0,0,0,0,0,0,331,2,7,2,0.007230372587359563,3,0,0,0
7,437,106,pair_006_n5_006_conflict,conflict,0,1,0,1.1500000000000012,0.29927333333333334,6992,20976,277,2,310,0,0,0,0,0.0,0,0,0,0,0,0,437,2,7,2,0.005476552234361592,3,0,0,0
8,544,107,pair_013_n3_013_conflict,conflict,1,0,0,12.190000000000001,0.299095,8704,26112,336,2,491,0,0,0,0,0.0,0,0,0,0,0,0,544,2,7,2,0.004399362732382382,3,0,0,0
9,560,16,pair_005_n5_005_conflict,conflict,0,1,0,-0.5000000000000001,0.2990683333333333,8960,26880,351,4,523,0,0,0,0,0.0,0,0,0,0,0,0,560,4,15,4,0.004273666654314313,3,0,0,0
